Cosmology WMAP:,  71, 0.27, 0.73, 0.
      z,       DA (Mpc)
      0.1108,  411.4836
      0.1109,  411.8065
      0.1110,  412.1295
      0.1111,  412.4522
      0.1112,  412.7829
      0.1113,  413.1053
      0.1114,  413.4277
      0.1115,  413.7580
      0.1116,  414.0801
      0.1117,  414.4021
      0.1118,  414.7321
      0.1119,  415.0538
      0.1120,  415.3754
      0.1121,  415.7050
      0.1122,  416.0264
      0.1123,  416.3557
      0.1124,  416.6768
      0.1125,  416.9979
      0.1126,  417.3268
      0.1127,  417.6476
      0.1128,  417.9763
      0.1129,  418.2968
      0.1130,  418.6172
      0.1131,  418.9455
      0.1132,  419.2657
      0.1133,  419.5938
      0.1134,  419.9137
      0.1135,  420.2415
      0.1136,  420.5611
      0.1137,  420.8807
      0.1138,  421.2082
      0.1139,  421.5275
      0.1140,  421.8548
      0.1141,  422.1738
